Slice,Count,Total Area,Average Size,%Area,Mean
2021-06-04_300-Manitol_4b-2_1,10,0.773,0.077,0.460,255
2021-06-04_300-Manitol_4b-2_2,10,0.702,0.070,0.417,255
2021-06-04_300-Manitol_4b-2_3,9,0.656,0.073,0.390,255
2021-06-04_300-Manitol_4b-4_1,10,0.642,0.064,0.382,255
2021-06-04_300-Manitol_4b-4_2,11,0.779,0.071,0.463,255
2021-06-04_300-Manitol_4b-4_3,10,0.573,0.057,0.341,255
2021-06-04_300-Manitol_Col-0_1,10,1.096,0.110,0.652,255
2021-06-04_300-Manitol_Col-0_2,11,0.938,0.085,0.558,255
2021-06-04_300-Manitol_Col-0_3,10,1.028,0.103,0.611,255
2021-06-04_300-Manitol_fip-37_1,10,0.617,0.062,0.367,255
2021-06-04_300-Manitol_fip-37_2,10,0.640,0.064,0.381,255
2021-06-04_300-Manitol_fip-37_3,10,0.730,0.073,0.434,255
2021-06-04_300-Manitol_Vir-1_1,10,0.495,0.050,0.294,255
2021-06-04_300-Manitol_Vir-1_2,14,0.604,0.043,0.359,255
2021-06-04_300-Manitol_Vir-1_3,10,0.537,0.054,0.319,255
2021-06-04_controll_4b-1_1,11,0.613,0.056,0.364,255
2021-06-04_controll_4b-1_2,15,1.170,0.078,0.696,255
2021-06-04_controll_4b-1_3,14,1.112,0.079,0.661,255
2021-06-04_controll_4b-2_1,10,0.699,0.070,0.416,255
2021-06-04_controll_4b-2_2,13,0.823,0.063,0.489,255
2021-06-04_controll_4b-2_3,10,1.022,0.102,0.608,255
2021-06-04_controll_4b-4_1,14,0.974,0.070,0.579,255
2021-06-04_controll_4b-4_2,13,1.066,0.082,0.633,255
2021-06-04_controll_4b-4_3,11,0.645,0.059,0.384,255
2021-06-04_controll_Col-0_1,13,1.692,0.130,1.006,255
2021-06-04_controll_Col-0_2,12,1.385,0.115,0.824,255
2021-06-04_controll_Col-0_3,15,1.367,0.091,0.813,255
2021-06-04_controll_fip-37_1,10,0.668,0.067,0.397,255
2021-06-04_controll_fip-37_2,15,1.094,0.073,0.650,255
2021-06-04_controll_fip-37_3,15,1.102,0.073,0.655,255
2021-06-04_controll_Vir-1_1,14,0.588,0.042,0.349,255
2021-06-04_controll_Vir-1_2,12,0.684,0.057,0.407,255
2021-06-04_controll_Vir-1_3,12,0.664,0.055,0.395,255
2021-06-04_heat_4b-1_1,13,1.048,0.081,0.623,255
2021-06-04_heat_4b-1_2,14,0.905,0.065,0.538,255
2021-06-04_heat_4b-1_3,15,1.038,0.069,0.617,255
2021-06-04_heat_4b-2_1,11,0.700,0.064,0.416,255
2021-06-04_heat_4b-2_2,9,0.731,0.081,0.435,255
2021-06-04_heat_4b-2_3,14,0.903,0.065,0.537,255
2021-06-04_heat_4b-4_1,16,1.134,0.071,0.674,255
2021-06-04_heat_4b-4_2,12,0.897,0.075,0.533,255
2021-06-04_heat_4b-4_3,12,0.754,0.063,0.448,255
2021-06-04_heat_Col-0_1,11,1.108,0.101,0.659,255
2021-06-04_heat_Col-0_2,11,0.994,0.090,0.591,255
2021-06-04_heat_Col-0_3,12,1.043,0.087,0.620,255
2021-06-04_heat_fip-37_1,8,0.437,0.055,0.260,255
2021-06-04_heat_fip-37_2,11,0.570,0.052,0.339,255
2021-06-04_heat_fip-37_3,14,0.939,0.067,0.558,255
2021-06-04_heat_Vir-1_1,10,0.455,0.046,0.271,255
2021-06-04_heat_Vir-1_2,12,0.614,0.051,0.365,255
2021-06-04_heat_Vir-1_3,14,0.713,0.051,0.424,255
2021-06-04_150-Manitol_4b-1_1,20,1.396,0.070,0.830,255
2021-06-04_150-Manitol_4b-1_2,17,1.269,0.075,0.754,255
2021-06-04_150-Manitol_4b-1_3,15,0.951,0.063,0.565,255
2021-06-04_150-Manitol_4b-2_1,17,1.102,0.065,0.655,255
2021-06-04_150-Manitol_4b-2_2,16,1.126,0.070,0.670,255
2021-06-04_150-Manitol_4b-2_3,17,1.315,0.077,0.782,255
2021-06-04_150-Manitol_4b-4_1,16,1.147,0.072,0.682,255
2021-06-04_150-Manitol_4b-4_2,10,0.914,0.091,0.543,255
2021-06-04_150-Manitol_4b-4_3,17,1.235,0.073,0.734,255
2021-06-04_150-Manitol_Col-0_1,17,1.659,0.098,0.986,255
2021-06-04_150-Manitol_Col-0_2,10,1.212,0.121,0.720,255
2021-06-04_150-Manitol_Col-0_3,18,1.750,0.097,1.040,255
2021-06-04_150-Manitol_fip-37_1,16,1.448,0.090,0.861,255
2021-06-04_150-Manitol_fip-37_2,10,0.698,0.070,0.415,255
2021-06-04_150-Manitol_fip-37_3,17,1.351,0.079,0.803,255
2021-06-04_150-Manitol_Vir-1_1,13,0.813,0.063,0.484,255
2021-06-04_150-Manitol_Vir-1_2,15,0.937,0.062,0.557,255
2021-06-04_150-Manitol_Vir-1_3,14,0.994,0.071,0.591,255
2021-06-04_150-NaCl_4b-1_1,16,1.139,0.071,0.677,255
2021-06-04_150-NaCl_4b-1_2,15,1.581,0.105,0.940,255
2021-06-04_150-NaCl_4b-1_3,16,1.317,0.082,0.783,255
2021-06-04_150-NaCl_4b-2_1,15,1.068,0.071,0.635,255
2021-06-04_150-NaCl_4b-2_2,12,0.801,0.067,0.476,255
2021-06-04_150-NaCl_4b-2_3,17,1.171,0.069,0.696,255
2021-06-04_150-NaCl_4b-4_1,11,0.799,0.073,0.475,255
2021-06-04_150-NaCl_4b-4_2,13,1.016,0.078,0.604,255
2021-06-04_150-NaCl_4b-4_3,16,1.151,0.072,0.684,255
2021-06-04_150-NaCl_Col-0_1,19,1.541,0.081,0.916,255
2021-06-04_150-NaCl_Col-0_2,18,1.966,0.109,1.169,255
2021-06-04_150-NaCl_Col-0_3,19,1.932,0.102,1.149,255
2021-06-04_150-NaCl_fip-37_1,19,1.263,0.066,0.751,255
2021-06-04_150-NaCl_fip-37_2,21,1.305,0.062,0.776,255
2021-06-04_150-NaCl_fip-37_3,16,1.079,0.067,0.641,255
2021-06-04_150-NaCl_Vir-1_1,15,0.970,0.065,0.576,255
2021-06-04_150-NaCl_Vir-1_2,14,0.966,0.069,0.575,255
2021-06-04_150-NaCl_Vir-1_3,11,0.592,0.054,0.352,255
2021-06-04_200-Manitol_4b-1_1,14,1.340,0.096,0.797,255
2021-06-04_200-Manitol_4b-1_2,15,1.377,0.092,0.819,255
2021-06-04_200-Manitol_4b-1_3,15,1.259,0.084,0.749,255
2021-06-04_200-Manitol_4b-2_1,14,1.414,0.101,0.841,255
2021-06-04_200-Manitol_4b-2_2,14,1.574,0.112,0.936,255
2021-06-04_200-Manitol_4b-2_3,15,1.262,0.084,0.750,255
2021-06-04_200-Manitol_4b-4_1,15,1.256,0.084,0.747,255
2021-06-04_200-Manitol_4b-4_2,16,1.057,0.066,0.628,255
2021-06-04_200-Manitol_4b-4_3,15,1.272,0.085,0.756,255
2021-06-04_200-Manitol_Col-0_1,16,1.686,0.105,1.003,255
2021-06-04_200-Manitol_Col-0_2,16,1.554,0.097,0.924,255
2021-06-04_200-Manitol_Col-0_3,17,1.879,0.111,1.117,255
2021-06-04_200-Manitol_fip-37_1,11,0.663,0.060,0.394,255
2021-06-04_200-Manitol_fip-37_2,14,0.857,0.061,0.510,255
2021-06-04_200-Manitol_fip-37_3,11,0.705,0.064,0.419,255
2021-06-04_200-Manitol_Vir-1_1,16,0.984,0.061,0.585,255
2021-06-04_200-Manitol_Vir-1_2,9,0.518,0.058,0.308,255
2021-06-04_200-Manitol_Vir-1_3,10,0.508,0.051,0.302,255
2021-06-04_300-Manitol_4b-1_1,10,0.556,0.056,0.331,255
2021-06-04_300-Manitol_4b-1_2,10,0.714,0.071,0.424,255
2021-06-04_300-Manitol_4b-1_3,10,0.803,0.080,0.478,255
